[-28.844755, 18.788761] - label 0
[-2.649224, 2.038413] - label 1
[-8.043853, 6.3643] - label 1
[-5.796174, 12.844024] - label 1
[11.14053, -8.804433] - label 1
[3.837883, 0.680724] - label 1
[-7.300816, 17.733517] - label 1
[8.110159, -4.982971] - label 1
[12.383123, -1.812529] - label 1
[-5.420396, 7.29686] - label 1
[-5.661446, -1.050819] - label 1
[-7.764025, -0.524601] - label 1
[0.805031, -9.06125] - label 1
[5.693365, 1.184644] - label 1
[0.820344, -2.420453] - label 1
[9.269981, -10.032206] - label 1
[6.339123, -14.250507] - label 1
[-5.631977, 8.28297] - label 1
[-5.058576, -1.539181] - label 1
[4.609536, 12.289683] - label 1
[-6.52228, 12.88434] - label 1
[-2.433888, -0.787901] - label 1
[2.760181, -6.18064] - label 1
[-4.817887, 10.620196] - label 1
[0.338702, 2.627405] - label 1
[-10.874834, 6.700832] - label 1
[-6.114375, -4.028784] - label 1
[-3.164041, -2.237346] - label 1
[5.629502, -1.411149] - label 1
[4.483479, 8.07196] - label 1
[3.61872, -6.906235] - label 1
[-10.49261, 9.385544] - label 1
[8.344097, -16.516275] - label 1
[-13.256766, 11.834981] - label 1
[-4.801532, 7.252949] - label 1
[6.804499, -3.511662] - label 1
[17.786335, -10.494257] - label 1
[-4.133824, 19.083721] - label 1
[-8.669214, -1.603867] - label 1
[-6.736246, 15.299367] - label 1
[-14.703523, 0.053908] - label 0
[4.486218, 0.893372] - label 1
[-6.523951, 2.507037] - label 1
[-7.146778, 5.371266] - label 1
[-16.757511, 12.474715] - label 1
[15.731184, -18.48763] - label 1
[7.785091, -9.428669] - label 1
[-6.074368, 4.984898] - label 1
[-5.091639, -0.722628] - label 1
[-4.40392, 10.807658] - label 1
[-1.701985, -14.401858] - label 1
[14.844144, -9.87626] - label 1
[-2.956225, -7.604859] - label 1
[0.164603, 11.032229] - label 1
[8.741155, -8.251835] - label 1
[-9.275109, 8.827828] - label 1
[-3.154386, -3.913329] - label 1
[-1.738759, 9.478522] - label 1
[3.135461, -4.602433] - label 1
[6.815719, -6.933077] - label 1
[-19.088125, 12.504121] - label 1
[-1.650399, 4.151388] - label 1
[2.992365, 7.633092] - label 1
[-20.652271, 8.28453] - label 0
[10.187105, -9.056475] - label 1
[-15.357686, 20.47763] - label 1
[2.852148, -4.366808] - label 1
[-6.083207, -3.367273] - label 1
[-0.758287, -5.787408] - label 1
[-4.071866, 2.262695] - label 1
[8.051423, -4.619491] - label 1
[-4.112287, 5.244748] - label 1
[-8.073914, 4.207469] - label 1
[-0.40734, -6.461977] - label 1
[-0.872804, 6.111432] - label 1
[8.316779, 12.964754] - label 1
[6.313141, 3.985799] - label 1
[-1.691957, 5.370763] - label 1
[4.022635, -1.520945] - label 1
[-5.956173, 1.853713] - label 1
[2.895927, 0.160157] - label 1
[4.168969, -8.732798] - label 1
[4.324536, -5.40529] - label 1
[6.684469, -14.071501] - label 1
[3.868712, -5.242056] - label 1
[1.838207, -4.412138] - label 1
[5.81734, 0.442544] - label 1
[2.805806, 4.113182] - label 1
[-7.157687, -4.531912] - label 1
[4.470623, -0.180758] - label 1
[-5.417061, 6.110605] - label 1
[-1.914967, -12.930807] - label 1
[4.195849, -1.407102] - label 1
[-12.14164, 7.313754] - label 1
[-3.659702, -4.968331] - label 1
[-8.150395, -4.573407] - label 1
[0.736904, -0.668896] - label 1
[-5.439549, -0.713419] - label 1
[14.780524, -8.992871] - label 1
[-10.143007, -0.033301] - label 1
[-4.658437, 3.197838] - label 1
[-3.057254, -6.726799] - label 1
[-12.411741, 3.191529] - label 1
[9.205589, 2.39885] - label 1
[0.500478, 1.179873] - label 1
[-7.305518, -11.987733] - label 0
[15.132577, -11.139419] - label 1
[-3.753562, 21.374327] - label 1
[-0.904299, 6.432919] - label 1
[-5.772299, 10.471792] - label 1
[-17.043283, 12.703652] - label 1
[-0.595843, 5.685747] - label 1
[2.34305, -6.885674] - label 1
[-8.833505, 5.467414] - label 1
[-14.868576, 18.514519] - label 1
[-7.82454, 12.976436] - label 1
[-3.658443, 3.981127] - label 1
[-17.431065, 11.158324] - label 1
[-1.840582, -3.925401] - label 1
[0.714679, -3.797344] - label 1
[3.12454, -11.464099] - label 1
[-3.441961, -3.179681] - label 1
[-1.732604, -2.582104] - label 1
[2.096499, -4.1131] - label 1
[-3.204683, 2.788607] - label 1
[9.899755, -4.229711] - label 1
[-0.052882, -9.082627] - label 1
[8.483653, -0.412453] - label 1
[-25.704702, 3.492606] - label 0
[5.65393, -3.6789] - label 1
[-6.578568, 16.796326] - label 1
[-0.69946, -5.065176] - label 1
[13.872654, -3.180602] - label 1
[-2.722486, 17.041668] - label 1
[18.434866, -21.133642] - label 1
[7.310192, -5.13014] - label 1
[-3.085061, 0.807262] - label 1
[9.689546, -8.480437] - label 1
[-5.525598, 12.998815] - label 1
[-1.896308, -4.489734] - label 1
[0.307564, -17.571922] - label 1
[-14.60038, 4.095384] - label 1
[7.285623, -8.085833] - label 1
[6.202517, 2.353648] - label 1
[-3.169581, -7.569368] - label 1
[-9.644818, 10.903039] - label 1
[7.758229, -3.522626] - label 1
[-0.58002, -0.671614] - label 1
[-11.379492, 15.099592] - label 1
[5.809515, -5.855394] - label 1
[-5.13267, 1.214436] - label 1
[5.361994, -7.654197] - label 1
[1.448561, 4.474603] - label 1
[1.754421, 5.535195] - label 1
[-5.584848, -1.952134] - label 1
[-13.040274, 9.618818] - label 1
[6.787026, -9.283643] - label 1
[-2.548814, -3.75294] - label 1
[-5.330167, 7.628248] - label 1
[-2.502094, -2.236227] - label 1
[0.803274, 0.209588] - label 1
[3.914118, -7.566183] - label 1
[4.53848, -8.094535] - label 1
[-7.965813, 8.515757] - label 1
[4.000842, -9.727571] - label 1
[2.14509, 0.116984] - label 1
[9.032801, 2.200033] - label 1
[4.21193, -6.237848] - label 1
[7.505203, -5.744126] - label 1
[7.225654, -5.791551] - label 1
[-8.416424, 6.3041] - label 1
[10.011171, -6.632916] - label 1
[0.664794, -0.211325] - label 1
[7.892617, -5.672121] - label 1
[-12.682069, 1.484097] - label 1
[0.577283, 9.028638] - label 1
[-3.779987, 7.255792] - label 1
[6.170956, 2.901353] - label 1
[5.815807, -0.426731] - label 1
[-8.546021, 8.144857] - label 1
[-3.37306, 5.232804] - label 1
[-2.558069, 22.218382] - label 1
[10.410468, -3.260721] - label 1
[-2.62098, -1.708874] - label 1
[-3.439049, 0.778537] - label 1
[-6.827189, 6.231469] - label 1
[-3.219348, -2.323961] - label 1
[-1.823076, 2.269191] - label 1
[10.924947, -4.404679] - label 1
[-0.057141, -2.796541] - label 1
[9.686817, -4.085778] - label 1
[-1.598306, -2.132517] - label 1
[-11.090414, 20.091568] - label 1
[2.870356, -1.809409] - label 1
[9.74978, 3.281125] - label 1
[-16.282574, 8.346291] - label 1
[-15.699104, 5.814913] - label 1
[-6.136871, -0.729434] - label 1
[3.410595, -6.23701] - label 1
[1.120136, 4.91966] - label 1
[-1.725799, 4.916706] - label 1
[-0.177207, -0.318358] - label 1
[11.562238, -0.499135] - label 1
[8.49014, 0.342313] - label 1
[5.940604, 1.002577] - label 1
[1.677602, 0.19871] - label 1
[1.361261, 7.89291] - label 1
[11.538799, 2.234366] - label 1
[-6.363534, -11.014409] - label 0
[2.056431, -5.608675] - label 1
[-19.879639, 27.865486] - label 1
[-1.438678, -7.314222] - label 1
[-8.6488, 8.932947] - label 1
[3.06634, 2.290929] - label 1
[8.460819, -4.266568] - label 1
[1.356958, -3.119854] - label 1
[4.374291, -2.93671] - label 1
[-8.806357, 2.583888] - label 1
[-2.491464, -2.902784] - label 1
[6.7245, -12.987115] - label 1
[3.797866, 0.791416] - label 1
[8.52102, -6.085021] - label 1
[-1.878767, -5.924096] - label 1
[6.300759, -5.409255] - label 1
[-6.19686, 4.35802] - label 1
[1.069714, -3.180141] - label 1
[0.613212, 3.865088] - label 1
[-9.028937, 10.123507] - label 1
[-16.919262, 2.911298] - label 0
[-10.104028, -16.295115] - label 0
[3.594862, 1.596286] - label 1
[15.19238, -10.361795] - label 1
[6.832785, -5.543735] - label 1
[-8.193184, -1.56284] - label 1
[-3.446962, 5.298106] - label 1
[-1.405728, 0.383769] - label 1
[-10.132786, 11.725103] - label 1
[4.094334, -2.343458] - label 1
[15.343631, -3.483507] - label 1
[8.69933, -15.571078] - label 1
[-3.747638, 11.470054] - label 1
[5.000681, -3.689796] - label 1
[2.547127, 1.977632] - label 1
[1.505449, 1.773776] - label 1
[8.514859, 2.541956] - label 1
[1.900031, -11.886201] - label 1
[1.597655, -3.969108] - label 1
[-4.478161, 1.87477] - label 1
[16.191574, -0.336593] - label 1
[-2.916539, 13.155597] - label 1
[7.654634, 0.556201] - label 1
[-3.556458, 1.224359] - label 1
[4.559951, -8.656536] - label 1
[-4.975435, -3.020746] - label 1
[0.229543, -0.279179] - label 1
[0.434039, -3.61561] - label 1
[-4.843059, 14.676691] - label 1
[10.272202, -0.412983] - label 1
[-0.898199, -0.730487] - label 1
[6.220856, -5.107666] - label 1
[-0.515178, -5.598993] - label 1
[-0.218635, -4.81854] - label 1
[-9.880256, -4.275336] - label 1
[-9.831836, 1.826589] - label 1
[1.33677, -3.236189] - label 1
[-6.442201, -11.894915] - label 0
[9.152646, -8.727177] - label 1
[-7.611338, 13.56573] - label 1
[8.576196, -15.208364] - label 1
[4.520578, 3.776292] - label 1
[2.947631, -5.888966] - label 1
[13.419616, -10.929799] - label 1
[3.219498, 1.830453] - label 1
[-0.933859, -6.245197] - label 1
[-0.219811, 3.706951] - label 1
[7.649256, -8.054664] - label 1
[-3.750134, 0.766807] - label 1
[-0.93859, -10.290601] - label 1
[-2.978089, 10.368142] - label 1
[-20.409924, 13.530543] - label 1
[10.288238, -3.725925] - label 1
[5.39633, -11.681398] - label 1
[9.450782, -14.096666] - label 1
[2.575553, -14.275934] - label 1
[-2.592898, 3.715784] - label 1
[-12.720101, 3.531724] - label 1
[-8.091601, 2.740404] - label 1
[9.696613, -8.738716] - label 1
[3.912151, -0.973509] - label 1
[2.550227, 8.537506] - label 1
[-6.900382, 4.56921] - label 1
[-2.242007, 0.962768] - label 1
[-3.17572, 5.452611] - label 1
[-2.529709, -1.937348] - label 1
[-14.786806, 13.322216] - label 1
[20.183443, -19.315628] - label 1
[-0.381044, 5.035047] - label 1
[-2.742646, 3.496488] - label 1
[5.684137, -4.080516] - label 1
[7.2212, -6.194569] - label 1
[5.46859, -6.6618] - label 1
[-6.256715, -1.752992] - label 1
[-0.11647, -10.223344] - label 1
[-7.30249, 3.515402] - label 1
[1.653485, -11.234659] - label 1
[-4.507167, -4.303511] - label 1
[10.646337, -9.716402] - label 1
[-9.102712, 2.958577] - label 1
[-3.908066, 10.266697] - label 1
[4.616027, 13.768289] - label 1
[2.960702, -7.749441] - label 1
[6.415522, -10.23466] - label 1
[-10.597628, 8.573139] - label 1
[19.435265, -22.890574] - label 1
[-2.785863, 4.243778] - label 1
[-0.384571, 5.567486] - label 1
[-7.087155, 7.152013] - label 1
[8.315679, -6.467168] - label 1
[5.951092, 3.853448] - label 1
[0.633122, -2.597918] - label 1
[-2.085914, 0.878305] - label 1
[8.198729, -4.809722] - label 1
[1.228356, 7.685852] - label 1
[9.320102, -5.298719] - label 1
[0.500351, 2.946659] - label 1
[3.514085, -5.546201] - label 1
[5.093282, 2.025525] - label 1
[-12.584022, 8.379361] - label 1
[1.83008, 1.833233] - label 1
[-6.987264, -3.851222] - label 1
[2.327184, 1.429958] - label 1
[-10.047816, 14.271653] - label 1
[-3.810229, 2.275877] - label 1
[18.546272, -19.109728] - label 1
[-18.036211, 6.590582] - label 0
[10.731307, -0.521728] - label 1
[8.990501, 5.583763] - label 1
[7.073175, -9.168819] - label 1
[19.384436, -11.062244] - label 1
[3.183987, 7.054529] - label 1
[-7.883823, 8.366613] - label 1
[6.234981, -10.523703] - label 1
[1.575314, 5.310714] - label 1
[-4.528445, 9.521778] - label 1
[-2.465714, 1.797388] - label 1
[-0.871231, -3.211862] - label 1
[-5.219136, 2.629042] - label 1
[0.150079, 3.24446] - label 1
[0.963096, 1.526068] - label 1
[-1.655437, -0.713627] - label 1
[-4.851232, -9.321533] - label 1
[7.751224, -0.018211] - label 1
[20.850918, -15.928298] - label 1
[2.377845, -9.134846] - label 1
[14.704484, -13.42268] - label 1
[-0.459183, -10.845036] - label 1
[-1.457201, -3.221106] - label 1
[1.132571, 5.030323] - label 1
[3.19877, -5.549987] - label 1
[2.262444, 1.878264] - label 1
[8.854217, -7.652532] - label 1
[17.31218, -14.214253] - label 1
[-7.156023, -2.763639] - label 1
[8.277036, 0.279774] - label 1
[9.562321, 0.455647] - label 1
[5.627973, -1.563089] - label 1
[-17.995634, 15.292927] - label 1
[-1.211316, -8.275717] - label 1
[6.976321, -14.958499] - label 1
[15.295813, -12.695483] - label 1
[-0.524234, -11.363375] - label 1
[-13.176295, 8.110854] - label 1
[-11.244506, 8.68983] - label 1
[2.077045, -6.713183] - label 1
[2.042953, -2.933906] - label 1
[14.730646, -2.413533] - label 1
[-1.258306, -6.002431] - label 1
[3.721053, -2.256568] - label 1
[-0.035821, -3.284253] - label 1
[-10.740376, 7.805568] - label 1
[-5.051601, 6.964529] - label 1
[8.939747, -12.455779] - label 1
[-0.849251, -0.480189] - label 1
[2.558231, 4.578417] - label 1
[11.310518, 2.166095] - label 1
[-6.835178, 7.402187] - label 1
[6.325226, 3.766076] - label 1
[-7.079824, -0.938522] - label 1
[-2.112164, 0.082267] - label 1
[0.764723, 0.55709] - label 1
[4.791929, 3.338873] - label 1
[-3.102674, 3.424437] - label 1
[-11.52295, 9.053528] - label 1
[-0.669223, 7.077788] - label 1
[9.48081, -0.503724] - label 1
[7.592394, 3.324326] - label 1
[-1.597786, -1.230377] - label 1
[-4.58836, 0.834553] - label 1
[2.269219, 3.812769] - label 1
[5.750228, -3.721194] - label 1
[1.403347, -5.824405] - label 1
[11.39045, -8.538019] - label 1
[8.996905, -7.888127] - label 1
[-4.512939, 1.665585] - label 1
[-8.610699, 3.840659] - label 1
[-2.415552, -4.986536] - label 1
[-5.348801, -0.960674] - label 1
[1.606519, -5.470497] - label 1
[-8.904637, 15.184953] - label 1
[5.185674, -4.527913] - label 1
[9.95314, -7.57631] - label 1
[3.09864, 5.090976] - label 1
[8.717684, 7.657531] - label 1
[-1.371826, 1.317269] - label 1
[7.787233, -4.780977] - label 1
[8.237604, -10.996691] - label 1
[-0.372693, 3.683409] - label 1
[2.845326, 8.702437] - label 1
[16.839466, -17.629938] - label 1
[14.815272, -9.252755] - label 1
[1.97052, 9.70795] - label 1
[-4.864318, 0.910327] - label 1
[6.588039, 9.111681] - label 1
[9.768592, 4.051196] - label 1
[6.717555, 0.109237] - label 1
[7.406574, -3.193001] - label 1
[-3.944388, -4.931654] - label 1
[11.648981, -7.952283] - label 1
[-9.135866, -1.425464] - label 1
[-4.112781, 2.59609] - label 1
[4.193546, -2.359649] - label 1
[4.779338, -4.789449] - label 1
[-7.234379, 2.656752] - label 1
[-7.999543, 4.018413] - label 1
[11.841447, -13.535099] - label 1
[13.259777, -10.082735] - label 1
[5.592398, 6.364137] - label 1
[-1.911269, -7.196767] - label 1
[5.877482, -12.576881] - label 1
[-6.256554, -3.489891] - label 1
[13.922169, -9.820232] - label 1
[-1.49557, 7.128494] - label 1
[-9.357827, 0.573735] - label 1
[1.024682, 0.511206] - label 1
[-0.538143, 3.258792] - label 1
[-2.048442, 0.169795] - label 1
[3.641641, 8.751369] - label 1
[-10.981071, 8.950037] - label 1
[7.540224, 3.373274] - label 1
[16.617474, -7.179826] - label 1
[0.821735, -5.693161] - label 1
[-0.205753, -5.514696] - label 1
[-22.055157, 23.2889] - label 1
[5.113891, -7.917406] - label 1
[-12.177512, 5.31897] - label 1
[1.867917, -5.715507] - label 1
[0.134337, -2.789403] - label 1
[0.938162, 5.723437] - label 1
[4.890072, -0.899434] - label 1
[-6.548041, -0.704389] - label 1
[9.427649, -9.839888] - label 1
[-8.855605, 16.82362] - label 1
[-16.022665, -1.493481] - label 0
[10.739406, -0.5875] - label 1
[10.175576, 1.090478] - label 1
[-1.597156, -2.239835] - label 1
[-16.434786, 18.27] - label 1
[14.422881, -18.51476] - label 1
[-17.530167, 11.251422] - label 1
[-2.184186, 1.309321] - label 1
[-2.045029, 3.996881] - label 1
[-5.693126, 10.622281] - label 1
[-0.019685, -5.769152] - label 1
[0.670992, 1.652034] - label 1
[-26.650848, 10.162429] - label 0
[-16.854803, 2.448295] - label 0
[7.602106, -10.221896] - label 1
[5.539975, 1.225432] - label 1
[-1.103294, 9.010544] - label 1
[-0.742271, -5.677363] - label 1
[25.304888, -11.127521] - label 1
[3.133834, 6.374483] - label 1
[0.034005, -9.610109] - label 1
[0.342401, 3.343741] - label 1
[-14.212064, 9.178612] - label 1
[8.563038, -8.82997] - label 1
[-2.833555, 9.560049] - label 1
[-3.905387, 10.080954] - label 1
[2.742035, -7.866686] - label 1
[-4.934779, 11.406606] - label 1
[-2.300923, 2.172334] - label 1
[-10.189267, 4.318225] - label 1
[5.608693, -3.086897] - label 1
[10.225378, 3.041965] - label 1
[0.715111, 13.524595] - label 1
[-9.109946, 2.824186] - label 1
[11.720534, -6.706637] - label 1
[7.079066, -1.624346] - label 1
[0.093742, -10.137374] - label 1
[8.907716, -9.226048] - label 1
[13.433776, -5.761195] - label 1
[3.290599, 4.773863] - label 1
[-24.777037, 14.560024] - label 0
[5.580174, -2.387735] - label 1
[-0.559211, 1.852774] - label 1
[-3.363612, 2.931503] - label 1
[1.817324, 9.774866] - label 1
[0.793703, 7.176873] - label 1
[-3.805174, -5.540258] - label 1
[-1.852388, 4.51718] - label 1
[-6.038273, -3.059425] - label 1
[6.166879, -3.151974] - label 1
[-7.605444, -8.216747] - label 0
[-4.192684, 1.088744] - label 1
[-9.198105, 10.778808] - label 1
[-9.340296, 17.136217] - label 1
[-1.749947, 12.52132] - label 1
[1.88232, 1.102181] - label 1
[10.580727, -1.661747] - label 1
[8.998394, 0.442499] - label 1
[8.603136, 2.368275] - label 1
[-1.068619, 12.468097] - label 1
[-16.61062, 16.412748] - label 1
[-0.196087, -1.59548] - label 1
[5.336995, -10.005415] - label 1
[-12.282919, 13.769282] - label 1
[-6.829902, -1.396811] - label 1
[8.59243, -13.161731] - label 1
[1.921685, 8.857357] - label 1
[-0.12909, -3.875694] - label 1
[-1.364373, -5.16334] - label 1
[9.550393, 12.608062] - label 1
[9.029653, -12.271823] - label 1
[-4.0811, 3.655486] - label 1
[2.710827, 3.166949] - label 1
[-2.784731, 2.942204] - label 1
[0.236912, -13.908551] - label 1
[4.581965, 11.107194] - label 1
[-9.914089, 2.248071] - label 1
[-5.704401, 9.101295] - label 1
